course_name,platform,language,url
Перекрестные исследования,Coursera,Russian,https://www.classcentral.com/course/crossover-designs-65661
Визуализация и презентация результатов в Tableau,Coursera,Russian,https://www.classcentral.com/course/how-to-present-your-findings-using-tableau-64792
Анализ данных в маркетинге,Coursera,Russian,https://www.classcentral.com/course/data-science-in-marketing-65646
Разбираем процесс анализа данных,Coursera,Russian,https://www.classcentral.com/course/understanding-data-science-workflow-64809
Analyse de données quantitatives en sciences humaines et sociales (ADSHS),France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-analyse-de-donnees-quantitatives-en-sciences-humaines-et-sociales-adshs-10949
Metodologia de Ciência de Dados,Coursera,Portuguese,https://www.classcentral.com/course/data-science-methodology-pt-34071
B.I.G : BioInformatique pour la Génétique Médicale,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-b-i-g-bioinformatique-pour-la-genetique-medicale-18018
Visualização de dados com o Python,Coursera,Portuguese,https://www.classcentral.com/course/python-for-data-visualization-pt-37639
ما علم البيانات؟,Coursera,Arabic,https://www.classcentral.com/course/what-is-datascience-ar-34131
BD**2: Des Bases de Données à Big Data,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-bd-2-des-bases-de-donnees-a-big-data-10912
Iniciación a la Infografía y Visualización de datos.,Miríadax,Spanish,https://www.classcentral.com/course/miriadax-iniciacion-a-la-infografia-y-visualizacion-de-datos-14710
Introducción al Business Intelligence y al Big Data,Miríadax,Spanish,https://www.classcentral.com/course/miriadax-introduccion-al-business-intelligence-y-al-big-data-5657
高校生のためのデータサイエンス入門 (pt010),gacco,Japanese,https://www.classcentral.com/course/gacco-pt010-9039
"Au-delà des frontières, diagnostiquer les territoires",France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-au-dela-des-frontieres-diagnostiquer-les-territoires-12525
大学生のためのデータサイエンス（Ⅰ）(ga109),gacco,Japanese,https://www.classcentral.com/course/gacco-ga109-12239
منهجية علم البيانات,Coursera,Arabic,https://www.classcentral.com/course/data-science-methodology-ar-34072
Data Mining - Clustering and Association,EduOpen,Italian,https://www.classcentral.com/course/eduopen-data-mining-clustering-and-association-7666
ビッグデータマネジメント・アナリティクス (ga119),gacco,Japanese,https://www.classcentral.com/course/gacco-ga119-12243
Тренды и классификации,Coursera,Russian,https://www.classcentral.com/course/trendy-klassifikatsii-9446
Введение в данные,Coursera,Russian,https://www.classcentral.com/course/vvedeniye-dannyye-9443
Técnicas de Análisis de Datos y Big Data,Independent,Spanish,https://www.classcentral.com/course/independent-tecnicas-de-analisis-de-datos-y-big-data-11659
Data Science en Agricultura,Canvas Network,Spanish,https://www.classcentral.com/course/canvas-network-data-science-en-agricultura-2618
คณิตศาสตร์สำหรับวิทยาศาสตร์ข้อมูล (Mathematics for Data Science),ThaiMOOC,Thai,https://www.classcentral.com/course/thaimooc-mathematics-for-data-science-14988
การเขียนโปรแกรม R สำหรับวิทยาการข้อมูล (R Programming for Data Science),ThaiMOOC,Thai,https://www.classcentral.com/course/thaimooc-r-r-programming-for-data-science-15109
Aplicando el análisis de datos: casos selectos ,Coursera,Spanish,https://www.classcentral.com/course/analisis-de-datos-aplicaciones-4660
大数据与信息传播         Big Data and Information Dissemination,Coursera,Chinese,https://www.classcentral.com/course/fdubigdata-1706
Analyse des données multidimensionnelles,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-analyse-des-donnees-multidimensionnelles-4716
Big Data em Saúde no Brasil,Coursera,Portuguese,https://www.classcentral.com/course/bigdatabrasil-4537
Введение в анализ данных сайтов,Coursera,Russian,https://www.classcentral.com/course/site-analysis-introduction-21239
Recolección y exploración de datos,Coursera,Spanish,https://www.classcentral.com/course/ordenamiento-datos-4614
Optimisation Stochastique Évolutionnaire,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-optimisation-stochastique-evolutionnaire-4698
社会人のためのデータサイエンス演習 (ga063),gacco,Japanese,https://www.classcentral.com/course/gacco-ga063-5686
Введение в науку о данных (An Introduction to Data Science),Coursera,Russian,https://www.classcentral.com/course/introduction-data-science-9656
Введение в Биоинформатику: Метагеномика (Introduction to Bioinformatics: Metagenomics),Coursera,Russian,https://www.classcentral.com/course/bioinformatics-metagenomics-7777
Программирование на Python для анализа данных,Coursera,Russian,https://www.classcentral.com/course/python-for-data-59534
Практики работы с данными средствами Power Query и Power Pivot,Coursera,Russian,https://www.classcentral.com/course/ms-query-pivot-data-analysis-11473
Проектирование интерактивных дашбордов в Tableau,Coursera,Russian,https://www.classcentral.com/course/dashboard-tableau-56521
Подготовка и анализ данных в Tableau,Coursera,Russian,https://www.classcentral.com/course/data-analysis-in-tableau-56520
Analisi dei dati ,Federica,Italian,https://www.classcentral.com/course/federica-analisi-dei-dati-10690
Быстрый старт с Tableau Desktop,Coursera,Russian,https://www.classcentral.com/course/tableau-56523
社会人のためのデータサイエンス入門 (ga031),gacco,Japanese,https://www.classcentral.com/course/gacco-ga031-4394
Python для анализа данных,Coursera,Russian,https://www.classcentral.com/course/python-for-data-science-11228
Fondamentaux pour le Big Data,France Université Numerique,French,https://www.classcentral.com/course/france-universite-numerique-fondamentaux-pour-le-big-data-4677
Análisis Estadístico Básico con SPSS,Miríadax,Spanish,https://www.classcentral.com/course/miriadax-analisis-estadistico-basico-con-spss-1669
Data Mining - Classification,EduOpen,Italian,https://www.classcentral.com/course/eduopen-data-mining-classification-7680
Обработка больших данных,Coursera,Russian,https://www.classcentral.com/course/big-data-processing-23239
Crea y comparte Reportes con Tableau Public! INTENSIVO,Udemy,Spanish,https://www.classcentral.com/course/udemy-crea-visualizaciones-con-tableau-public-70072
